Text,id,CUI,CONCEPT,Similarity
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0557885 ,"Feeling trapped,Feeling trapped",0.87050056
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0455204 ,"Homicidal thoughts,Homicidal thoughts",0.8682826
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0701812 ,"Sluggish thinking,Sluggish thought",0.86597097
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0586741 ,"Unable to read,Unable to read",0.86447185
The vertigo is rendering me unable to function in daily life causing me to lose work.,22,C0235198 ,"Unable to concentrate,Unable to concentrate",0.86405987
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C0455204 ,"Homicidal thoughts,Homicidal thoughts",0.8545586
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C0424565 ,"Cannot sleep at all,Cannot sleep at all",0.85116875
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C0393761 ,"Middle insomnia,Middle insomnia",0.8468344
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C0701812 ,"Sluggish thinking,Sluggish thought",0.8444694
I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,23,C0016204 ,"Flatulence,Flatulence symptom",0.84437567
My vertigo has not responded to conservative treatment thus far.,24,C0016204 ,"Flatulence,Flatulence symptom",0.8501227
My vertigo has not responded to conservative treatment thus far.,24,C0393761 ,"Middle insomnia,Middle insomnia",0.8453482
My vertigo has not responded to conservative treatment thus far.,24,C0033893 ,"Tension Headache,Tension-type headache",0.84436744
My vertigo has not responded to conservative treatment thus far.,24,C0426579 ,"Anorexia symptom,Anorexia symptom",0.84432626
My vertigo has not responded to conservative treatment thus far.,24,C0520547 ,"Poor peripheral circulation,Poor peripheral circulation",0.83921826
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0026821 ,"Muscle Cramp,Cramp",0.8944853
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0242979 ,"Muscle Fatigue,Muscle fatigue",0.8888536
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0917801 ,"Sleeplessness,Insomnia",0.88442904
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0033893 ,"Tension Headache,Tension-type headache",0.8829077
"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",25,C0423636 ,"Cardiac pain,Cardiac chest pain",0.8821886
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0016204 ,"Flatulence,Flatulence symptom",0.8668183
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0033893 ,"Tension Headache,Tension-type headache",0.86637795
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0701812 ,"Sluggish thinking,Sluggish thought",0.8580718
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0393761 ,"Middle insomnia,Middle insomnia",0.8561387
I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,26,C0025323 ,"Menorrhagia,Menorrhagia",0.8533266
Im sorry this is more about not taking it than about side effects of taking it.,27,C0424565 ,"Cannot sleep at all,Cannot sleep at all",0.8130149
